label,text,augmented_text
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","['According to Gran, the company take in no plans to be active all production to Ussr, although that is where the company is growing.']"
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","['Technopolis plans to originate in stages an area of no less than 100, 000 square meters in order to host companies working in computer technologies and telecommunications, the statement said.']"
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn readiness; contrary to in the beginning layoffs the company contracted the ranks of it office workers, the day by day Postimees reported."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,With the new production plant the company would increase its capacity to meet the expected growth in demand and would improve the purpose of unsanded materials and consequently increase the production profitability.
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","According to the company ' s update strategy for the years 2009 - 2012, Basware target a long - term net sales growth in the range of 20% - 40% with an operating profit margin of 10% - 20% of net sale."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCING OF ASPOCOMP ' S GROWTH Aspocomp constitute aggressively pursuing its growth strategy by progressively focusing on technologically more demanding HDI printed racing circuit board PCBs.
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For the last quarter of 2010, Componenta ' s last sales replicate to EUR131m from EUR76m for the same period a year in the beginning, while it moved to a zero pre - tax profit from a pre - tax red of EUR7m."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","In the third quarter of 2010, nett sales increased by 5. 2% to EUR 205. 5 mn, and operating net profit by 34. 9% to EUR 23. 5 mn."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,Operating profit uprise to EUR 13. i mn from EUR 8. 7 manganese in the corresponding period in 2007 representing 7. 7% of last cut rate sale.
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Operating profit add EUR twenty one. 1 mn, up from EUR 18. 6 mn in 2007, act 9. vii% of net sales."
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN said the offer is in phone line with its strategy to increase its possession in core business holdings and would strengthen Eesti Telekom ' s offering to its customers.
