label,text,augmented_text
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","['According according to E Gran, the Canadian company has no plans to ever move all production to Russia, although that is where the company business is obviously growing fast.']"
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","['Technopolis plans is to develop in stages an enterprise area potential of no much less than one 100,000 square meters in order to temporarily host several companies working in computer technologies programming and telecommunications services, the joint statement said.']"
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","The international electronic industry company of Elcoteq has unexpectedly laid Sunday off tens thousands of employees from its Tallinn manufacturing facility ; contrary to its earlier layoffs the Scandinavian company contracted the ranks of its representative office of workers, the daily Postimees has reported."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,With addition the new production support plant the company would increase its capacity capacity to meet the expected further increase in demand and would improve the use of some raw raw materials and therefore increase to the gross production level profitability of.
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","According to on the public company controller's updated strategy for the years 2009-2012 alone, Basware targets a consolidated long-term net sales growth in the range of between 20 % -40 % with maintaining an operating profit or margin of 10 % or -20 / % of net sales."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,"FINANCING OF ASPOCOMP 'S GROWTH SELECT Aspocomp is very aggressively forward pursuing its growth strategy, by increasingly focusing on technologically more cost demanding and HDI format printed circuit card boards + PCBs (."
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","For just the last financial quarter of 2010 that, Componenta's net sales doubled to about EUR131m, from EUR76m for the the exact same period just a year earlier, while subsequently it moved to a zero pre-tax profit from making a pre-tax loss of EUR7m."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","In just the year third credit quarter of 2010, net equipment sales increased further by 5.2 % to EUR 13 205.5 4 mn, and the operating profit by 34.9 % to EUR 6 23.5 mn.."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,Operating profit only rose to EUR $ 13.1 mn as from EUR 8.7 mn contracted in the 2011 corresponding period ending in 2007 -- representing 7.7 % of of revenue net before sales.
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","Operating annual profit totalled EUR 21.1 mn a, up much from EUR USD 18.6 per mn in March 2007, and representing 9.7 percentage % cent of net sales revenues."
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN also said that the offer is in line along with its strategy to increase its ownership involvement in its core business segment holdings separately and would strengthen Nu Eesti Telekom's offering opportunity to service its customers.
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","STORA ENSO IL, NORSKE SKOG, M-REAL, OF UPM-KYMMENE Credit Suisse First National Boston ( CFSB ) raised the minimum fair value for shares in... four of the ten largest Nordic and forestry trading groups in."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","A purchase agreement for 7,200 tons annually of gasoline with delivery at new the Hamina terminal, Finland., was signed jointly with Neste Oil AB OYj, at the average producer Platts index premium for this September plus by eight US dollars per month forward."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","Finnish Talentum reports said its operating profit "" increased to EUR A 20.5 mn m in 2005 from EUR T 9.3 mn t in 2004, and that net sales totaled EUR 103.3 mn mm, up remarkably from EUR S 96.4 mn."
positive,"Clothing retail chain Sepp+Ã†l+?'s sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","Clothing goods retail chain Sepp+Ã†l+?'s sales increased by 8 % yearly to tot EUR 155.2 mn a, and operating profit rose to EUR 31.1 n mn as from EUR C 17.1 mn posted in 2004 a."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Consolidated net product sales increased 16 % to reach EUR74 41.8 m, while organic operating profit growth amounted to EUR0.9 m compared with to a loss of EUR0 70.7 m in, the same prior one year time period."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","Foundries division reports its sales increased by 9.7 Percent % to EUR over 63.1 more mn from EUR EUR 57.5 mn in the annual corresponding period in 2006,, and sales of the Machine Shop Systems division increased by 16.4 % % to EUR 41.2 mn from EUR 35.4 mn reported in the corresponding period in year 2006."
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","HELSINKI ( AFX ) News - Shares have closed higher Monday, led by Nokia after it publicly announced plans to finally team up with Sanyo to manufacture its 3G connected handsets, and by Nokian Tyres after its latest fourth-quarter earnings results report beat analysts'expectations, stock dealers said."
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Technology Services Pvt Ltd LTD, currently a subsidiary corporation of Incap Corporation of Asia Finland Limited, plans is to double its product revenues by financial 2007-2008."
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Its board of executive directors will propose paying a new dividend of EUR0.12 per new share for 2010, only up slightly from the EUR0.08 paid per fiscal share paid up in January 2009."
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","Lifetree was founded in early 2000.,, and its net revenues have risen strong on an average yearly by roughly 40 % along with margins historically in late 30s."
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","( Filippova ) A trilateral agreement agreeing on investment assistance in the construction of the a technology innovation park in St Petersburg was said to reportedly have reportedly been signed in the course of the forum entitled, Days of the Future Russian National Economy, that opened in Helsinki today."
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","MegaFon's subscriber data base increased with 16.1 percentage % in fiscal 2009 to 50.5 million users as of December 31, while its market share by the number of customers amounted due to of 24 % as of late 2009 at, up from 23 % as as of late 2008, according solely to TeliaSonera estimates."
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","Net investment income from core life liability insurance doubled to EUR 6.8 mn from EUR 3.2 per mn,, and net investment income from non-life insurance also rose to EUR 5.2 mn from its EUR 1.5 mn in with the comparable corresponding period in 2009."
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),Net sales increased to 2 EUR193 3.3 mark m when from EUR179.9 m before and pretax operating profit rose by significant 34.2 % % - to EUR43.1 m. ( â€?EUR1 = USD1.4 )
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Net sales also surged up by almost 18.5 % to EUR167.8 m. Teleste Networks said that EUR20.4. m, that or another 12.2 % increase, worth of the sales came mainly from the acquisitions made in 2009."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"Nordea International Group's operating profit has increased in 2010 by about 18 percent, year-on-year to 3.64 million billion of euros and its total revenue by just 3 percent to about 9.33 million billion euros."
