label,text
1,"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok ."
1,"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations ."
2,The company expects its net sales in the first half of 2008 to reach the previous year 's level .
1,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .
1,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .
2,At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .
2,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market ."
2,`` The CHF is a great product .
2,"EPS from continuing operations came in at 0.30 eur , up from 0.17 ."
1,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .
2,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .
2,The company expects net sales to significantly increase from 2009 .
2,Sales of clothing developed best .
2,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .
1,Net loss in the same period in 2009 was euro18 .6 million .
2,The company aims to maintain this trend in profitability during the current year .
1,"Operating profit for the 12-month period decreased from EUR9 .6 m while net sales increased from EUR69 .0 m , as compared to 2005 ."
2,Previously the company has estimated its operating profit to reach the level of 2005 only .
2,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .
1,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share ."
0,The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .
1,"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+Ænge , by the turn of the month March-April 2008 ."
2,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 ."
0,Most of the layoffs will be in Finland .
1,s already good position in the technical building services market in Ostrobothnia .
1,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .
2,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .
1,This wood lacquered clock comes with a stripy hand-crocheted cover .
2,Sales in Finland rose by 3.9 % and international growth was 0.7 % .
0,"Exports of goods fell by 59 % , and imports by 16.7 % ."
1,"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 ."
2,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."
1,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care ."
2,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .
1,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa ."
1,The earnings in the comparative period included a capital gain of EUR 8mn from the sale of OMX shares .
1,The company did not disclose the price of the acquisition .
2,"The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes ."
2,The objective of the planned measures is to achieve significant savings in the next few years .
0,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn ."
2,"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit ."
1,"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk ."
1,"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses ."
2,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M ."
1,The company reiterates its outlook for 2009 .
2,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier ."
0,Net sales fell by 5 % from the previous accounting period .
1,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .
2,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .
1,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .
1,Finnish Benefon denies claims made in the press that the company is giving up its mobile handset business .
2,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln ."
1,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights ."
0,Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .
1,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week ."
0,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 ."
1,The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .
0,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .
0,Metso estimates the need for personnel reductions to amount to 25 people .
2,"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 ."
1,"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register ."
2,KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers .
1,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .
1,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .
1,The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V .
2,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .
2,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU"
2,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces ."
2,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .
0,stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .
1,"The 19,200-square metre technology center is located near University of Tampere in central Tampere ."
0,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % ."
1,"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy ."
1,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+Æki Oyj 's CEO Jukka Moisio ."
1,Finnish food industry company L+Ænnen Tehtaat is planning changes to its fish product business .
1,The employee negotiations are to address measures needed to adjust the operations to the present production situation .
0,"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+???"
1,"The parties have also agreed that L+Ænnen Tehtaat has the right to sell the remaining shares in Suomen Rehu to Hankkija-Maatalous 15 months after the purchase of the majority holding , at the earliest ."
1,"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said ."
2,"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business ."
1,The devices also contains Finnair 's own application for compiling customer feed-back and ideas for product development .
1,"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % ."
0,"( ADP News ) - Jan 27 , 2009 - Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL : WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland ."
1,"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space ."
1,"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business ."
1,"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said ."
1,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .
1,` Nordic infrastructure construction is one of our strategic growth areas .
1,Profit after taxes totaled EUR 12.1 mn .
1,You 're not alone .
1,`` The flex is a small price to pay for happy lenders . ''
1,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
1,"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said ."
1,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .
1,"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives ."
2,"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 ."
1,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones ."
1,"The segment has an annual revenue of approximately EUR400m , the company said ."
1,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 ."
1,Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .
1,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .
1,Finnish consumers prefer to buy the cheapest beer brand .
1,"We bring a new , committed leadership and business and strategic know-how to the company that we buy ."
2,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria ."
0,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
1,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."
1,CapMan made its initial investment in OneMed in June 2006 .
1,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 ."
2,Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .
1,"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania ."
1,"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn ."
0,"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added ."
