label,text,augmented_text
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","According to Gran, the company has no plans to move all production to Russia, even though the company is growing there."
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Technopolis plans to gradually develop an area of no less than 100,000 square meters to accommodate companies working in computer technologies and telecommunications, the statement said."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","Elcoteq, an international electronics company, has laid off dozens of employees from its Tallinn plant; in contrast to earlier redundancies, the company has reduced the number of its office workers, the daily Postimees reported."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,"With the new production facility, the company would increase its capacities to meet the expected increase in demand, improve the use of raw materials and thereby increase production profitability."
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","In line with the Company's updated 2009-2012 strategy, Basware is targeting long-term revenue growth in the range of 20% -40% with an operating profit margin of 10% -20% of revenue."
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCING OF ASPOCOMP'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on more technologically advanced HDI printed circuit boards.
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","In the last quarter of 2010, Componenta's net sales doubled from 76 million euros in the same period of the previous year to 131 million euros, while pre-tax profit fell to zero after a pre-tax loss of 7 million euros."
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","In the third quarter of 2010, net sales rose by 5.2% to EUR 205.5 million and operating profit by 34.9% to EUR 23.5 million."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"Operating profit rose from EUR 8.7 million in the corresponding period of 2007 to EUR 13.1 million, which corresponds to 7.7% of net sales."
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","The EBIT amounted to 21.1 million euros, compared to 18.6 million euros in 2007, which corresponds to 9.7% of net sales."
